数量,睿配编码,下单日期,发货日期,到库日期,退回日期,仓库编码,特殊标识,特殊描述,价格
6,LTMIC00003,,,,,bj0001,正常入库,,
4,LTMIC00004,,,,,bj0001,正常入库,,
6,LTMIC00005,,,,,bj0001,正常入库,,
6,LTMIC00007,,,,,bj0001,正常入库,,
6,LTMIC00009,,,,,bj0001,正常入库,,
6,LTMIC00011,,,,,bj0001,正常入库,,
8,LTMIC00012,,,,,bj0001,正常入库,,
6,LTMIC00015,,,,,bj0001,正常入库,,
8,LTMIC00016,,,,,bj0001,正常入库,,
6,LTMIC00022,,,,,bj0001,正常入库,,
6,LTMIC00023,,,,,bj0001,正常入库,,
6,LTMIC00025,,,,,bj0001,正常入库,,
6,LTMIC00033,,,,,bj0001,正常入库,,
4,LTMIC00038,,,,,bj0001,正常入库,,
26,LTMIC00041,,,,,bj0001,正常入库,,
3,LTMIC00042,,,,,bj0001,正常入库,,
26,LTMIC00043,,,,,bj0001,正常入库,,
6,LTMIC00044,,,,,bj0001,正常入库,,
8,LTMIC00045,,,,,bj0001,正常入库,,
8,LTMIC00046,,,,,bj0001,正常入库,,
4,LTMIC00049,,,,,bj0001,正常入库,,
8,LTMIC00050,,,,,bj0001,正常入库,,
8,LTMIC00051,,,,,bj0001,正常入库,,
10,LTMIC00053,,,,,bj0001,正常入库,,
14,LTMIC00055,,,,,bj0001,正常入库,,
6,LTMIC00064,,,,,bj0001,正常入库,,
4,LTMIC00090,,,,,bj0001,正常入库,,
8,LTMIC00094,,,,,bj0001,正常入库,,
4,LTMIC00095,,,,,bj0001,正常入库,,
4,LTMIC00101,,,,,bj0001,正常入库,,
4,LTMIC00104,,,,,bj0001,正常入库,,
6,LTMIC00105,,,,,bj0001,正常入库,,
4,LTMIC00112,,,,,bj0001,正常入库,,
10,LTMIC00114,,,,,bj0001,正常入库,,
4,LTMIC00115,,,,,bj0001,正常入库,,
4,LTMIC00116,,,,,bj0001,正常入库,,
6,LTMIC00118,,,,,bj0001,正常入库,,
8,LTMIC00120,,,,,bj0001,正常入库,,
8,LTMIC00123,,,,,bj0001,正常入库,,
4,LTMIC00124,,,,,bj0001,正常入库,,
6,LTMIC00126,,,,,bj0001,正常入库,,
6,LTMIC00127,,,,,bj0001,正常入库,,
10,LTMIC00128,,,,,bj0001,正常入库,,
6,LTMIC00129,,,,,bj0001,正常入库,,
4,LTMIC00131,,,,,bj0001,正常入库,,
4,LTMIC00133,,,,,bj0001,正常入库,,
8,LTMIC00135,,,,,bj0001,正常入库,,
4,LTMIC00137,,,,,bj0001,正常入库,,
4,LTMIC00138,,,,,bj0001,正常入库,,
4,LTMIC00174,,,,,bj0001,正常入库,,
6,LTMIC00181,,,,,bj0001,正常入库,,
4,LTMIC00183,,,,,bj0001,正常入库,,
6,LTMIC00196,,,,,bj0001,正常入库,,
6,LTMIC00197,,,,,bj0001,正常入库,,
4,LTMIC00200,,,,,bj0001,正常入库,,
4,LTMIC00206,,,,,bj0001,正常入库,,
4,LTMIC00207,,,,,bj0001,正常入库,,
4,LTMIC00210,,,,,bj0001,正常入库,,
2,LTMIC00213,,,,,bj0001,正常入库,,
3,LTMIC00217,,,,,bj0001,正常入库,,
4,LTMIC00245,,,,,bj0001,正常入库,,
