下单日期,发货日期,到库日期,退回日期,特殊标识,特殊描述,价格,睿配编码,数量,仓库编码
,,,,正常入库,,,LTMIC00003,2,SNP09000003
,,,,正常入库,,,LTMIC00003,2,SNP09000004
,,,,正常入库,,,LTMIC00005,2,SNP09000005
,,,,正常入库,,,LTMIC00005,2,SNP09000006
,,,,正常入库,,,LTMIC00007,2,SNP09000004
,,,,正常入库,,,LTMIC00007,2,SNP09000005
,,,,正常入库,,,LTMIC00009,2,SNP09000007
,,,,正常入库,,,LTMIC00009,2,SNP09000008
,,,,正常入库,,,LTMIC00012,2,SNP09000003
,,,,正常入库,,,LTMIC00012,2,SNP09000004
,,,,正常入库,,,LTMIC00012,2,SNP09000006
,,,,正常入库,,,LTMIC00016,2,SNP09000007
,,,,正常入库,,,LTMIC00016,2,SNP09000008
,,,,正常入库,,,LTMIC00016,2,SNP09000009
,,,,正常入库,,,LTMIC00016,2,SNP09000010
,,,,正常入库,,,LTMIC00017,2,SNP09000001
,,,,正常入库,,,LTMIC00017,2,SNP09000002
,,,,正常入库,,,LTMIC00017,2,SNP09000003
,,,,正常入库,,,LTMIC00017,0,SNP09000004
,,,,正常入库,,,LTMIC00017,2,SNP09000005
,,,,正常入库,,,LTMIC00017,2,SNP09000006
,,,,正常入库,,,LTMIC00017,2,SNP09000007
,,,,正常入库,,,LTMIC00017,2,SNP09000008
,,,,正常入库,,,LTMIC00017,2,SNP09000009
,,,,正常入库,,,LTMIC00017,0,SNP09000010
,,,,正常入库,,,LTMIC00022,2,SNP09000001
,,,,正常入库,,,LTMIC00022,2,SNP09000009
,,,,正常入库,,,LTMIC00023,2,SNP09000008
,,,,正常入库,,,LTMIC00023,2,SNP09000009
,,,,正常入库,,,LTMIC00025,2,SNP09000006
,,,,正常入库,,,LTMIC00025,2,SNP09000007
,,,,正常入库,,,LTMIC00033,2,SNP09000001
,,,,正常入库,,,LTMIC00033,2,SNP09000002
,,,,正常入库,,,LTMIC00041,2,SNP09000001
