城市 ,供应商编码,数量,仓库编码,睿配编码,特殊标识,特殊描述,下单日期,发货日期,到库日期,退回日期,价格
北京,049320_106,2,bj0001,LTMIC00003,正常入库,,,,2016/4/21,,
北京,930458_107,10,bj0001,LTMIC00004,正常入库,,,,2016/4/21,,
北京,394055_106,4,bj0001,LTMIC00009,正常入库,,,,2016/4/21,,
北京,086572_113,2,bj0001,LTMIC00012,正常入库,,,,2016/4/21,,
北京,520111_105,4,bj0001,LTMIC00015,正常入库,,,,2016/4/21,,
北京,568521_102,8,bj0001,LTMIC00016,正常入库,,,,2016/4/21,,
北京,712323_104,8,bj0001,LTMIC00017,正常入库,,,,2016/4/21,,
北京,155641_104,4,bj0001,LTMIC00022,正常入库,,,,2016/4/21,,
北京,987887_105,4,bj0001,LTMIC00023,正常入库,,,,2016/4/21,,
北京,673887_105,4,bj0001,LTMIC00025,正常入库,,,,2016/4/21,,
北京,900902_106,4,bj0001,LTMIC00033,正常入库,,,,2016/4/21,,
北京,036073_106,22,bj0001,LTMIC00041,正常入库,,,,2016/4/21,,
北京,568976_101,3,bj0001,LTMIC00042,正常入库,,,,2016/4/21,,
北京,175909_108,6,bj0001,LTMIC00043,正常入库,,,,2016/4/21,,
北京,038473_101,6,bj0001,LTMIC00044,正常入库,,,,2016/4/21,,
北京,051014_104,8,bj0001,LTMIC00045,正常入库,,,,2016/4/21,,
北京,448018_102,8,bj0001,LTMIC00046,正常入库,,,,2016/4/21,,
北京,345673_101,2,bj0001,LTMIC00049,正常入库,,,,2016/4/21,,
北京,903371_104,6,bj0001,LTMIC00050,正常入库,,,,2016/4/21,,
北京,019993_105,4,bj0001,LTMIC00051,正常入库,,,,2016/4/21,,
北京,221662_106,10,bj0001,LTMIC00053,正常入库,,,,2016/4/21,,
北京,990997_105,14,bj0001,LTMIC00055,正常入库,,,,2016/4/21,,
北京,272280_103,6,bj0001,LTMIC00064,正常入库,,,,2016/4/21,,
北京,273059_101,4,bj0001,LTMIC00090,正常入库,,,,2016/4/21,,
北京,552678_103,8,bj0001,LTMIC00094,正常入库,,,,2016/4/21,,
北京,507093_102,10,bj0001,LTMIC00114,正常入库,,,,2016/4/21,,
北京,710007_109,4,bj0001,LTMIC00436,正常入库,,,,2016/4/21,,
北京,069598_104,2,bj0001,LTMIC00116,正常入库,,,,2016/4/21,,
北京,893691_101,6,bj0001,LTMIC00118,正常入库,,,,2016/4/21,,
北京,955962_102,8,bj0001,LTMIC00120,正常入库,,,,2016/4/21,,
北京,794938_111,8,bj0001,LTMIC00123,正常入库,,,,2016/4/21,,
