CAD,DESC,数量,查货日期,客户编码
568521_102,195/60 R15 88V TL ENERGY XM2 GRNX MI,10,20150827,dxcd1
706630_107,255/45 R19 100Y PILOT SPORT PS2 N0,50,20150827,dxcd1
638113_101,255/45 R17 PILOT PRECEDA PP2 98W,30,20150827,dxcd1
677456_102,235/50 R18 PRIMACY 3 ST 97W,10,20150827,dxcd1
709237_101,215/50 R17 91W TL PRIMACY LC DT MI,20,20150827,dxcd2
379787_101,235/55 R17 99H TL PRIMACY LC  MI,20,20150827,dxcd2
020291_103,235/50 R18 97V TL PILOT SPORT 3 ST AO MI,30,20150827,dxcd2
350696_103,205/55 R16 94V ENERGY MXV8   EL,10,20150825,zknc1
545096_102,215/65 R16 102H EXTRA LOAD TL LATITUDE TOUR HP DT MI,10,20150825,zkwh1
955962_105,225/55 R17 101W EXTRA LOAD TL PRIMACY 3 ST GRNX MI,70,20150825,zkwh2
638113_101,255/45 R17 PILOT PRECEDA PP2 98W,30,20150827,zkwh2
